 primalDim  primalFOM  dualDim  dualFOM  sameProj 
      3    0.136995      2    0.145708    0
      2    0.131703      3    0.106321    0
      2    0.0957518      2    0.0957518    2
      3    0.0799709      3    0.0769498    0
      2    0.131703      2    0.131703    2
      4    0.0877353      3    0.13726    0
      2    0.0651613      2    0.0651613    2
      5    0.150058      3    0.106321    0
      2    0.0651613      2    0.0651613    2
      2    0.025608      2    0.025608    2
      2    0.0651613      3    0.0290843    0
      2    0.145708      2    0.145708    2
      3    0.10243      2    0.146522    0
      4    0.0511319      2    0.0651613    0
      2    0.0651613      2    0.0651613    2
      3    0.153821      4    0.193103    0
      3    0.176153      3    0.130659    0
      2    0.0872112      2    0.0872112    2
      2    0.0651613      2    0.0651613    2
      4    0.0811371      3    0.0673578    0
      2    0.131703      2    0.131703    2
      4    0.118696      3    0.126775    0
      2    0.0651613      2    0.0651613    2
      2    0.025608      2    0.025608    2
      2    0.145708      3    0.101511    0
      2    0.0700008      2    0.0700008    2
      2    0.146522      2    0.146522    2
      2    0.0700008      2    0.0700008    2
      2    0.0651613      2    0.0651613    2
      2    0.0957518      2    0.0957518    2
      3    0.120945      2    0.1325    0
      2    0.131703      4    0.123255    0
      2    0.0256564      2    0.0256564    2
      4    0.148931      3    0.0613847    0
      4    0.110756      3    0.0813226    0
      2    0.136395      2    0.136395    2
      2    0.0872112      3    0.0827289    0
      4    0.117204      3    0.169589    0
      2    0.0651613      2    0.0651613    2
      4    0.0888242      3    0.0769498    0
      3    0.139833      3    0.176478    0
      2    0.136007      2    0.136007    2
      3    0.144861      3    0.155639    0
      2    0.207566      3    0.173179    0
      2    0.0256564      2    0.0256564    2
      2    0.0621844      2    0.0621844    2
      2    0.0651613      2    0.0651613    2
      3    0.0553836      3    0.0902849    0
      3    0.0561526      2    0.069557    0
      3    0.132088      3    0.0980431    0
      2    0.0402443      2    0.0402443    2
      3    0.112279      2    0.139981    0
      3    0.177867      3    0.179073    0
      2    0.025608      2    0.025608    2
      3    0.0709465      4    0.0910298    0
      3    0.0747868      3    0.0568312    3
      2    0.0402443      2    0.0402443    2
      3    0.0920542      4    0.14631    0
      2    0.0651613      2    0.0651613    2
      3    0.044185      2    0.0641651    0
      2    0.0957518      2    0.0957518    2
      2    0.0995618      2    0.0995618    2
      2    0.117051      2    0.117051    2
      2    0.154455      3    0.115674    0
      3    0.0769568      2    0.0995618    0
      5    0.122309      3    0.0868111    0
      3    0.173949      4    0.13905    0
      3    0.079957      4    0.143931    0
      3    0.188067      3    0.177564    0
      3    0.0768837      2    0.11674    0
      3    0.205      3    0.0690491    3
      3    0.111527      3    0.0382242    0
      2    0.0654396      2    0.0654396    2
      3    0.153734      3    0.158333    0
      2    0.0872112      2    0.0872112    2
      2    0.0995618      2    0.0995618    2
      2    0.141077      2    0.141077    2
      3    0.172205      4    0.150956    0
      2    0.0651613      2    0.0651613    2
      3    0.0947408      4    0.13139    0
      4    0.167314      3    0.0769498    0
      2    0.134013      3    0.120557    0
      2    0.0377998      2    0.0377998    2
      3    0.0706714      4    0.164106    0
      2    0.0259922      2    0.0259922    2
      2    0.0377998      2    0.0377998    2
      4    0.194953      3    0.0568312    0
      2    0.0681172      2    0.0681172    2
      5    0.185007      3    0.184571    0
      2    0.0471348      2    0.0471348    2
      2    0.1325      2    0.1325    2
      4    0.156587      3    0.123394    0
      4    0.0509602      2    0.0621844    0
      2    0.0951461      2    0.0951461    2
      4    0.216723      4    0.123255    0
      3    0.0638943      3    0.0626249    0
      3    0.11991      3    0.0868111    0
      2    0.0995618      2    0.0995618    2
      3    0.0569403      3    0.0794089    3
      3    0.1183      3    0.0881298    0
      3    0.161468      3    0.101511    0
      4    0.143959      2    0.152691    0
      3    0.147498      4    0.176278    0
      3    0.102453      4    0.153226    0
      3    0.128615      3    0.108823    0
      3    0.057745      3    0.0728428    3
      3    0.20119      3    0.182476    0
      2    0.123255      2    0.123255    2
      4    0.176711      3    0.0915536    0
      2    0.0224456      2    0.0224456    2
      2    0.0668443      2    0.0668443    2
      2    0.0353497      2    0.0353497    2
      2    0.0872112      2    0.0872112    2
      3    0.103723      4    0.101774    0
      2    0.0377998      2    0.0377998    2
      3    0.144014      3    0.114673    0
      3    0.0876727      3    0.145949    0
      2    0.0471348      2    0.0471348    2
      2    0.0651613      2    0.0651613    2
      2    0.0963709      2    0.0963709    2
      2    0.0641651      2    0.0641651    2
      2    0.120572      3    0.115341    0
      2    0.0957518      2    0.0957518    2
      2    0.069557      2    0.069557    2
      2    0.0995618      2    0.0995618    2
      2    0.0627332      2    0.0627332    2
      2    0.128504      3    0.120557    0
      2    0.0259922      2    0.0259922    2
      4    0.0811559      3    0.107042    0
      3    0.0543965      2    0.0827053    0
      4    0.180655      3    0.0919726    0
      4    0.151894      3    0.0827289    0
      2    0.126247      2    0.126247    2
      2    0.0951461      2    0.0951461    2
      2    0.128504      2    0.128504    2
      2    0.017481      2    0.017481    2
      2    0.0180391      2    0.0180391    2
      2    0.0249547      2    0.0249547    2
      3    0.162029      3    0.203401    0
      2    0.0621844      2    0.0621844    2
      2    0.103019      2    0.103019    2
      4    0.130426      4    0.13139    0
      4    0.129926      3    0.0690491    0
      3    0.100948      3    0.0644405    0
      2    0.0290388      2    0.0290388    2
      4    0.0953044      3    0.0868111    0
      3    0.204463      3    0.155639    0
      2    0.121088      2    0.121088    2
      3    0.157608      4    0.0695251    0
      2    0.0465264      2    0.0465264    2
      4    0.0570099      2    0.0872112    0
      2    0.149532      3    0.0968595    0
      2    0.0995618      2    0.0995618    2
      2    0.130494      2    0.130494    2
      3    0.093884      2    0.141077    0
      2    0.151049      3    0.0813226    0
      2    0.0849906      2    0.0849906    2
      3    0.0601267      2    0.139981    0
      4    0.158052      3    0.0915536    0
      4    0.14238      3    0.146213    0
      3    0.0947408      4    0.0947468    0
      2    0.0573118      2    0.0573118    2
      2    0.0947808      3    0.0769498    0
      3    0.0584669      3    0.0868111    3
      5    0.150094      4    0.164106    0
      2    0.0647544      2    0.0647544    2
      4    0.124206      4    0.143931    0
      2    0.0339311      2    0.0339311    2
      3    0.175174      3    0.187875    0
      2    0.0951461      2    0.0951461    2
      2    0.0259922      2    0.0259922    2
      2    0.0867364      2    0.0867364    2
      2    0.0377998      2    0.0377998    2
      3    0.137659      3    0.180783    0
      3    0.159522      4    0.0830984    0
      3    0.0876727      4    0.155463    0
      2    0.0681172      2    0.0681172    2
      4    0.136909      3    0.0919726    0
      2    0.0180391      2    0.0180391    2
      2    0.0429832      2    0.0429832    2
      3    0.132488      3    0.114    0
      3    0.044185      2    0.0641651    0
      2    0.1325      2    0.1325    2
      3    0.0318922      3    0.0540572    3
      3    0.193684      4    0.193103    0
      2    0.130072      2    0.130072    2
      2    0.107779      2    0.107779    2
      3    0.123805      3    0.111269    3
      4    0.170783      3    0.208627    0
      4    0.0757741      2    0.165433    0
      3    0.192519      4    0.150956    0
      3    0.104157      3    0.0794089    3
      3    0.0638943      3    0.124942    0
      3    0.164598      3    0.0594759    3
      2    0.0668443      2    0.0668443    2
      3    0.103004      3    0.116667    0
      2    0.0995618      3    0.0936299    0
      5    0.107164      3    0.0948539    0
      3    0.157943      3    0.0980431    0
      3    0.127515      4    0.101774    0
      3    0.1183      3    0.13726    0
      2    0.0377998      2    0.0377998    2
      2    0.16286      3    0.101511    0
      3    0.0912661      3    0.140855    0
      4    0.143959      3    0.138931    0
      2    0.0180391      2    0.0180391    2
      2    0.0859328      3    0.0831923    0
      2    0.110358      2    0.110358    2
      4    0.113132      3    0.111269    0
