 primalDim  primalFOM  dualDim  dualFOM  sameProj 
      3    0.132488      4    0.176278    0
      3    0.044185      2    0.0641651    0
      2    0.1325      2    0.1325    2
      2    0.0654396      2    0.0654396    2
      3    0.210439      4    0.203549    0
      3    0.144694      3    0.167536    0
      2    0.107779      2    0.107779    2
      3    0.123805      3    0.111269    3
      4    0.257321      3    0.208627    0
      4    0.0757741      4    0.194883    4
      2    0.236807      4    0.150956    0
      4    0.215374      2    0.255877    0
      3    0.0638943      3    0.138654    3
      3    0.175814      4    0.159843    0
      4    0.0996171      3    0.203401    0
      3    0.121403      2    0.211142    0
      2    0.0995618      2    0.0995618    2
      4    0.166823      4    0.101774    0
      3    0.174131      2    0.215507    0
      3    0.163769      4    0.183946    0
      3    0.1183      3    0.13726    0
      2    0.0377998      2    0.0377998    2
      4    0.229289      3    0.101511    0
      3    0.0912661      3    0.140855    0
      4    0.143959      3    0.138931    0
      3    0.079957      3    0.202644    3
      3    0.106947      3    0.0831923    0
      2    0.110358      2    0.110358    2
      4    0.113132      3    0.20112    0
      3    0.181584      3    0.214981    0
      2    0.139981      2    0.139981    2
      2    0.246122      3    0.139759    0
      4    0.101891      4    0.254775    0
      2    0.136007      2    0.136007    2
      4    0.138559      3    0.247566    0
      3    0.218665      3    0.123082    3
      3    0.11299      3    0.0588259    3
      3    0.171613      3    0.158333    0
      4    0.201282      3    0.191121    0
      2    0.0339311      2    0.0339311    2
      2    0.0224456      2    0.0224456    2
      3    0.0710624      3    0.126775    3
      3    0.0469025      2    0.0668443    0
      4    0.265661      3    0.158333    0
      2    0.0353497      2    0.0353497    2
      4    0.193842      4    0.219858    0
      2    0.0872112      2    0.0872112    2
      4    0.150582      3    0.185817    0
      2    0.241434      3    0.212824    0
      2    0.0995618      2    0.0995618    2
      2    0.115116      4    0.111488    0
      3    0.141376      3    0.188284    0
      4    0.122507      3    0.176695    0
      4    0.143673      3    0.0948539    0
      2    0.160242      2    0.160242    2
      2    0.0849906      2    0.0849906    2
      4    0.155863      4    0.111488    4
      3    0.105859      4    0.201845    0
      2    0.0651613      2    0.0651613    2
      3    0.183739      3    0.0749244    0
      3    0.154363      3    0.115341    3
      3    0.208247      3    0.0964617    0
      2    0.0641651      2    0.0641651    2
      2    0.218946      4    0.101774    0
      3    0.0473616      3    0.115341    0
      3    0.161001      3    0.161459    0
      3    0.247479      4    0.153226    0
      2    0.112987      2    0.112987    2
      2    0.069557      2    0.069557    2
      4    0.202678      3    0.222711    0
      4    0.241451      3    0.189505    0
      3    0.265982      4    0.216694    0
      2    0.0627332      2    0.0627332    2
      3    0.167836      2    0.188471    0
      3    0.158063      3    0.237418    0
      2    0.103403      2    0.103403    2
      2    0.0259922      2    0.0259922    2
      3    0.200688      3    0.192325    0
      4    0.168803      3    0.148301    0
      2    0.0700008      2    0.0700008    2
      2    0.0827053      2    0.0827053    2
      2    0.0528744      2    0.0528744    2
      2    0.205003      4    0.174309    0
      4    0.140728      3    0.126775    0
      5    0.174436      3    0.0827289    0
      3    0.157572      3    0.166846    0
      3    0.127162      2    0.17018    0
      3    0.14108      3    0.152393    0
      3    0.0955283      2    0.201049    0
      3    0.126373      3    0.173843    0
      3    0.0997345      3    0.119275    0
      3    0.1123      3    0.0759439    0
      2    0.017481      2    0.017481    2
      2    0.025608      2    0.025608    2
      2    0.0180391      2    0.0180391    2
      2    0.155852      2    0.155852    2
      2    0.126483      2    0.126483    2
      3    0.157027      3    0.173843    0
      3    0.187543      3    0.222711    0
      2    0.0612139      2    0.0612139    2
      2    0.0621844      2    0.0621844    2
      2    0.0931991      2    0.0931991    2
      3    0.148278      3    0.180783    0
      2    0.0951461      2    0.0951461    2
      3    0.132579      3    0.163353    0
      3    0.138528      4    0.203549    0
      3    0.232636      4    0.150956    0
      2    0.130072      2    0.130072    2
      4    0.189177      2    0.248527    0
      2    0.107088      3    0.0980431    0
      3    0.103889      4    0.164106    0
      3    0.155231      3    0.243179    0
      4    0.210645      3    0.0868111    0
      4    0.169744      4    0.143931    0
      3    0.183802      3    0.167077    0
      4    0.150596      2    0.201049    0
      3    0.213535      3    0.185817    0
      4    0.147181      3    0.164058    0
      3    0.157608      3    0.0827289    0
      4    0.169618      3    0.0690491    0
      2    0.101838      2    0.101838    2
      3    0.132816      3    0.234157    3
      4    0.107874      3    0.169589    0
      2    0.116414      2    0.116414    2
      4    0.185414      3    0.133857    0
      2    0.211335      3    0.20112    0
      4    0.23149      4    0.230589    0
      2    0.152691      3    0.148042    0
      2    0.130494      2    0.130494    2
      3    0.0793789      2    0.141007    0
      4    0.209276      2    0.222098    0
      4    0.136722      4    0.183946    0
      2    0.151049      2    0.151049    2
      3    0.130757      4    0.120421    0
      3    0.214535      4    0.150956    0
      2    0.157379      2    0.157379    2
      2    0.139981      2    0.139981    2
      2    0.141705      2    0.141705    2
      3    0.156004      4    0.189494    0
      4    0.143525      3    0.130364    0
      4    0.195407      3    0.155144    0
      3    0.0961703      2    0.188997    0
      4    0.0753887      3    0.157114    0
